variable_name,description
subject_id,Internal identification number assigned to each participant.
title,"Response to the question ""What is your current professional title or role?"""
title_other_text,"Free text response entered for participants who responded ""other"" for their professional title."
years,"Free text response entered for participants who responded ""other"" for their professional title."
institution_type,"Response to the question ""Which of the following best describes the institution or organization with which you are affiliated?"""
institution_type_other_text,"Free text response entered for participants who responded ""other"" for their institution type."
country,"Response to the question ""In what country is your current institution or organization located?"""
lab_size,"Whether or not the participant answered the question ""How big is your lab or research group?"" [1=Yes]"
lab_size_total,"Total of responses given to the question ""How big is your lab or research group?"""
lab_size_ra,Free text response entered for number of research assistants in the participant's lab group.
lab_size_gs,Free text response entered for number of grad students in the participant's lab group.
lab_size_pd,Free text response entered for number of postdocs in the participant's lab group.
lab_size_fts,Free text response entered for number of full time staff in the participant's lab group.
lab_size_pts,Free text response entered for number of part time staff in the participant's lab group.
collaboration,"Response to the question ""Aside from your own, approximately how many labs or research groups are you currently collaborating with in a way that involves sharing data?'"
research_area,"Response to the question ""What is your primary research area?"""
research_area_text,"Free text response entered for participants who responded ""other"" for their research area."
data_type,"Response to the question ""Which of the following best describes the data you collect as part of your research?"""
funder,"Indicates whether or not participant answered the question ""Who currently funds your research or work?"" [1=Yes]"
funder_nih,If the participant indicated they currently receive NIH funding. [1=Yes]
funder_nsf,If the participant indicated they currently receive NSF funding. [1=Yes]
funder_government,If the participant indicated they currently receive funding from a government funder other than NIH or NSF. [1=Yes]
funder_private,If the participant indicated they currently receive funding from a foundation or private funder. [1=Yes]
funder_professional,If the participant indicated they currently receive funding from a profession organization. [1=Yes]
funder_commercial,If the participant indicated they currently receive funding from a commercial entity. [1=Yes]
funder_internal,If the participant indicated they currently receive funding from their institution. [1=Yes]
funder_other,If the participant indicated they currently receive funding from another source. [1=Yes]
funder_none,If the participant indicated they currently receive no funding. [1=Yes]
funder_other_text,"Free text response entered for participants who responded that they received ""other"" funding. [1=Yes]"
funder_role,"Indicates whether or not participant answered the question ""What is your role on these grants?"""
funder_role_pi,If the participant indicated they are a primary investigator on their grants. [1=Yes]
funder_role_ci,If the participant indicated they are a co-investigator on their grants. [1=Yes]
funder_role_associate,If the participant indicated they are listed as a research associate on their grants. [1=Yes]
funder_role_consultant,If the participant indicated they are listed as a consultant on their grants. [1=Yes]
funder_role_pd,If the participant indicated they are listed as  postdoc on their grants. [1=Yes]
funder_role_gs,If the participant indicated they are listed as a grad student on their grants. [1=Yes]
funder_role_ug,If the participant indicated they are listed as a PI on their grants. [1=Yes]
funder_role_na,If the participant indicated the question about funding role did not apply to them.  [1=Yes]
