D4,D6,D8[SQ001],D8[SQ002],D8[SQ003],D8[SQ004],D8[SQ005],D8[SQ006],D8[SQ007],D8[SQ008],D8[SQ009],D8[SQ010],D8[SQ011],D8[other]
Poland,Poland,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,
United States of America,United States of America,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,
,Estonia,No,No,Yes,Yes,No,No,No,No,No,No,No,
United States of America,United States of America,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,philosophy of science
Germany,Germany,No,No,No,Yes,No,No,No,No,No,No,No,
,the United Kingdom of Great Britain and Northern Ireland,No,Yes,No,No,No,No,No,No,No,No,No,Moral psychology
the United Kingdom of Great Britain and Northern Ireland,Spain,No,No,Yes,Yes,No,No,No,No,No,No,No,
Finland,Norway,No,No,No,Yes,No,No,No,No,No,No,No,
Poland,Poland,No,No,No,Yes,No,No,No,No,No,Yes,No,
the United Kingdom of Great Britain and Northern Ireland,United States of America,No,No,No,No,No,No,No,Yes,No,No,No,philosophy of maths
,Belgium,No,No,No,No,Yes,No,No,No,No,No,No,
Lithuania,Lithuania,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,
the United Kingdom of Great Britain and Northern Ireland,Germany,No,No,No,No,No,No,No,No,Yes,Yes,No,philosophy of mathematics
Switzerland,Switzerland,No,No,No,Yes,Yes,No,No,No,No,No,No,
United States of America,United States of America,No,No,No,Yes,No,No,No,No,Yes,No,No,
Poland,Germany,No,No,No,No,No,Yes,Yes,No,No,No,No,
United States of America,the United Kingdom of Great Britain and Northern Ireland,No,Yes,No,No,No,No,No,No,No,No,No,
Japan,Japan,No,Yes,No,No,No,No,Yes,No,No,No,No,
Poland,Poland,Yes,No,No,Yes,Yes,No,No,No,No,No,No,
Poland,Poland,No,No,Yes,Yes,No,Yes,No,No,No,No,No,
United States of America,Australia,No,Yes,Yes,No,No,No,No,No,No,No,No,
Australia,Denmark,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,
France,Poland,No,No,No,No,No,Yes,No,No,No,No,No,
Poland,Germany,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,
Germany,Germany,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,
the United Kingdom of Great Britain and Northern Ireland,the United Kingdom of Great Britain and Northern Ireland,Yes,No,No,Yes,Yes,No,No,No,No,No,No,
Poland,Poland,No,No,No,Yes,No,No,No,No,No,No,No,
Germany,Germany,No,Yes,No,No,No,No,No,No,No,No,No,
Romania,Romania,No,Yes,No,No,No,No,No,No,No,No,No,
Poland,Poland,Yes,Yes,No,No,No,No,No,No,No,Yes,No,
Germany,Switzerland,No,Yes,No,Yes,Yes,No,No,No,No,No,No,
United States of America,United States of America,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,
Brazil,Brazil,No,No,No,No,No,No,No,No,No,Yes,No,
Switzerland,Switzerland,No,No,No,Yes,Yes,No,No,No,Yes,No,No,
United States of America,New Zealand,No,No,No,Yes,No,Yes,Yes,No,No,No,No,
United States of America,United States of America,No,Yes,Yes,No,No,No,No,No,No,No,No,philosophy of science
United States of America,New Zealand,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,
Belgium,Belgium,No,No,No,Yes,Yes,No,No,Yes,No,No,No,
the United Kingdom of Great Britain and Northern Ireland,United States of America,No,Yes,No,No,No,No,No,No,No,No,No,
,Austria,No,No,No,No,Yes,No,No,No,No,Yes,No,cognitive science
the United Kingdom of Great Britain and Northern Ireland,Switzerland,No,No,Yes,Yes,Yes,No,No,No,No,No,No,
Poland,Poland,No,Yes,No,No,No,No,No,No,No,Yes,No,
Spain,Spain,No,Yes,No,No,No,No,No,No,No,No,No,
United States of America,United States of America,No,No,No,Yes,No,No,No,No,No,No,No,
Austria,Germany,No,Yes,No,Yes,No,No,No,No,No,No,No,
China,Norway,No,Yes,No,No,No,No,No,No,No,No,No,
Poland,Poland,No,No,Yes,Yes,No,No,Yes,No,No,No,No,
Germany,Switzerland,No,Yes,Yes,No,Yes,No,No,No,No,No,No,
Belgium,Belgium,No,No,No,No,Yes,No,No,Yes,No,No,No,
Netherlands,Netherlands,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
