D7[other],D9text,S3[SQ001comment],S3[SQ002comment],S3[SQ003comment],S3[SQ004comment],S3[SQ005comment],S3[SQ006comment],S5part2other,M2[other],H1[other],H2[other],H5
,,,,,"PsyArxiv, ResearchGate, PhilPapers, etc.","Analysis, Cognition, Journal of Intelligence, Philosophical Studies, Review of Philosophy and Psychology,",,"Business, laziness, forgetfulness",,,To increase the probability of error correction,"The 47th President of the United States has appointed people who claim to be placing a higher priority on open science, especially for publicly funded science. The authenticity of the adminstration's interest in open science may be questionable, but their reintroduction of open science into public discourse may incentivize even more open science practices in proposals for publicly funded research."
,,,,,PsyArxiv,Many journals that publish experimental philosophy are open to null results,,,,,,"So sorry, but I'm afraid I don't really remember the exact number of projects I've had over the past five years that didn't end up getting completed and published. So my answers to all of those questions are just guesses or estimates. (By contrast, I was easily able to report the exact number of experimental papers I did over the past five years that were published.)"
,,,,,PsyArxiv,,,,,,,
,,,,,,,,,,,,
,,,,,OSF,,,,,,,
,,,,nature springer's data journal?,psyarxiv,,,,,,,
,,,,,"arxiv, philpapers, osf","Phil Psychology, Episteme, Mind&Language (no x-phi anymore, unfortunately)",,,,,,
,,,,,"PhilPapers, OSF",Philosophical Psychology? (I think most journals would consider.),,,,,,
,,,,,"arxive, osf",,,,,,,
,,,https://forrt-replications.shinyapps.io/fred_explorer/,,https://osf.io/preprints,,,,,,,
researcher in a grant,,osf.io,osf.io,,"osf.io, philpapers.org, psyarxiv.com",,,,,,,
,,,,,arxiv,,,,,,,
,,,,,"arXive, PsyArXiv, PhilSci-Archive, SSRN",,,,,,,
,,,,,Phisci-archive,,,,,,,
,,Osf,Osf,,,,,,,,,
,,,,,,,,,,,,
,,,,,PhilPapers,,,,,,,
,,,,,"OSF, philpaper",,,,,,,This survey felt a bit long for me as a non-native English user.
,,,,,psyarxiv,,,,,,,
,,OSF,OSF,,PhilPapers,,,Laziness,,,,
,,,,,"philarchive, arxiv",,,,,,,
,,,,,,,,,,,,"As mentioned already, I mostly don't do experimental philosophy, except with some co-authors."
,,"OSF, PsychFileDrawer","OSF, PsychFileDrawer",,"OSF preprints, PhilArchive, PhilSciArchive, PsyArXiv, arXiv",,,,,,,
,,,,,,,,,,,,
,,OSF,OSF,,"research gate, academia",,,,,personal website,,
,,,,,PhilPapers,,,,,,,
,,,,,PsyArxiv,,,,,,,
,,,,,PhilPapers,,,,,,,
,,,,,,,,,,,,
,,,,,arxiv,,,,,,,
,,,,,,,,The experiment was ill-conceived and the results are irrelevant for the rationale of the research,,,,
,,,,,"https://philsci-archive.pitt.edu, philpapers.org",,,,,,,
,,,,,,,,"There are basically no institutional rewards for providing this stuff, and curating it over time is burdensome",,,,
,,,,,,,,,,,,
,,,,,PhilPapers; PhilSciArchive; PsyArchiv,,,,,,,
,,,,,"arXiv, PhilArchive, PhilSci-Archive",,,,,,,
,,,,,Ssrn,,,,,,,
,,,,,"Psyxarviv, philpapers",,,"student research not of sufficient quality; or, for a another project, results and topic were complex and there was difficulty figuring out how to best move forward empirically and theoretically, given high standards needed for a good paper.",,,,
,,,,,"e.g., PhilSci-Archive","e.g., Synthese, Philosophical Studies",,,,,,
,,,,,arxiv,,,,,,,
,,,,,,,,,,,,
,,osf,osf,,"philpapers, philsci, osf",,,,,,,
,,,,,Philpapers; Researchgate,,,,,,,
,,,,,,,,,,,,
,,,,,"Psyarxiv, arXiv, philpapers",,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,"OSF, PhilPapers, ArXiv",,,,,Code and data on github,,"My practices have changed significantly as I've gained expertise. My early code will never see the light of data because it is horrendous. I could go through and clean it up for dissemination if the incentives are there, but they aren't. Now my code and workflow is a lot more polished, it's a lot easier and less stressful to share data and code. 

My experience with the file drawer problem is that it depends a lot on the group/PI. Some PIs are very very bad about file drawer data, as they are hunting around for results that they like and can build the narrative they want (At an unnamed group, I probably only published 1/10th of the data I collected there). Other PIs run 3 studies and then publish 3 studies.

Fwiw, a fair amount of my unpublished data is because I had a talk coming up, I wanted to present something new and cool, didn't have anything new and cool, so quickly threw together a study to see if the project is worth doing further. It's sitting in a drawer because 1) the actual study wasn't up to standards needed to publish it, just the standards for a cool talk, 2) I didn't find the time and motivation to follow-up with a standalone paper."
,,,,,"SSRN, Arxiv, ResearchGate",,,I think I've published open data/stimuli/analysis code on OSF for all projects I was one of the lead authors,,,,"As written in another write-in field: I've shared data/stimuli/analysis code for all of my papers. I do, however, have some file drawer problems of my own. Papers to which I collected a lot of data, but could not yet find a coherent narrative to turn them into an argument neat enough for a paper. I think about these a lot and sometimes I feel guilt about not having done that yet. I feel that the field develops a bit of a skewed perspective because these papers get published late or never. As soon as I have the time (which is scarce for early career professors in third-world countries such as myself), I intend to publish these papers. This includes a firm commitment to sharing them as pre-prints and to publish the underlying data/stimuli/analysis code. Moreover: even for published papers, when there are pilots/other studies that weren't reported, I make a point of having stimuli/data/analysis code + a note explaining the results and why they were not included on the final argument on OSF, as well as a footnote acknowledging that in the published piece."
,,,,,"osf, psyarxiv, philpapers",https://www.jasnh.com/,,,,,,
